source_id	kind	url	revision	record_id	license	license_state	citation
cropgenome_local_derived_v1	local_artifact	file://training_server_transfer/runs/cropgenome_non_edta_step19000	final-receipt-sha256:231fcb73fd94e722e6b56ace5f82be689b04c6eb6b8a91bc67b143866c3d988f		project_internal	local_internal	CropGenome-FM frozen derived benchmarks; independent GFF labels
plant_genomic_benchmark_78ec8156	huggingface_dataset	https://huggingface.co/datasets/InstaDeepAI/plant-genomic-benchmark	78ec8156c2ffb3e5475277fdb7eb603294224e53		cc-by-nc-sa-4.0	verified	Mendoza-Revilla et al., AgroNT, Communications Biology 2024, doi:10.1038/s42003-024-06465-2
edta_q04_2_0_1	local_artifact	file://structural_annotation/edta_q04_no_repeatmodeler	pending-final-manifest		project_internal_from_public_assemblies	local_internal	EDTA 2.0.1; Ou et al., Genome Biology 2019
pdllm_core_promoter	huggingface_dataset	https://huggingface.co/datasets/zhangtaolab/plant-multi-species-core-promoters	e03d362a831293c471ce6f7af9fc8a8c2c3fe1b4		cc-by-nc-sa-4.0	verified	Zhang et al., Plant Communications 2026, doi:10.1016/j.xplc.2025.101439
pdllm_conservation	huggingface_dataset	https://huggingface.co/datasets/zhangtaolab/plant-multi-species-sequence-conservation	d2c115b89c46ca9931b76fccf23b806798d9bd33		cc-by-nc-sa-4.0	verified	Zhang et al., Plant Communications 2026, doi:10.1016/j.xplc.2025.101439
pdllm_histone	huggingface_dataset	https://huggingface.co/datasets/zhangtaolab/plant-multi-species-histone-modifications	040e557a72200b77919154c0f3d68887c0e51a14		cc-by-nc-sa-4.0	verified	Zhang et al., Plant Communications 2026, doi:10.1016/j.xplc.2025.101439
pdllm_open_chromatin	huggingface_dataset	https://huggingface.co/datasets/zhangtaolab/plant-multi-species-open-chromatin	f00ce22ca98ecf001af6a8fa96f829aa45e5901a		cc-by-nc-sa-4.0	verified	Zhang et al., Plant Communications 2026, doi:10.1016/j.xplc.2025.101439
plantcad1_cross_species_token	huggingface_dataset	https://huggingface.co/datasets/kuleshov-group/cross-species-single-nucleotide-annotation	ce38574d8a2aa8737167c6d5416a37a82d15eba4		cc-by-nc-4.0	verified	Karollus et al., PNAS 2025, doi:10.1073/pnas.2421738122
plantcad2_zero_shot	huggingface_dataset	https://huggingface.co/datasets/plantcad/PlantCAD2_zero_shot_tasks	d340debe0c8402c84f0696cd2002f87c2f7ba6db		apache-2.0	verified	PlantCAD2 official zero-shot dataset and plantcad/plantcad-dev
plantcad2_fine_tuning	huggingface_dataset	https://huggingface.co/datasets/plantcad/PlantCAD2_fine_tuning_tasks	fc37c0654ecb8c31402bcfe6fa576cdc5e4fcfd6		not_declared_on_dataset_card	user_authorized	PlantCAD2 official fine-tuning dataset and plantcad/plantcad-dev
gxa_sorghum_v1	huggingface_dataset	https://huggingface.co/datasets/songlab/gxa-sorghum-v1	0545539b3229946b90c1073c99a97bfb9f95cd83		not_declared_on_dataset_card	user_authorized	Benegas et al., Nature Biotechnology 2026, doi:10.1038/s41587-026-03084-w
gpn_processed_arabidopsis	huggingface_dataset	https://huggingface.co/datasets/gonzalobenegas/processed-data-arabidopsis	a66a7885530ba7491fea1f94fbc69508156ca16d		not_declared_on_dataset_card	user_authorized	Benegas et al., PNAS 2023, doi:10.1073/pnas.2311219120
arabidopsis_tair10_ensembl60	direct_file	https://ftp.ensemblgenomes.ebi.ac.uk/pub/plants/release-60/fasta/arabidopsis_thaliana/dna/Arabidopsis_thaliana.TAIR10.dna.toplevel.fa.gz	sha256:80a13166003333ba4982b57abdb3d2b62037bc831f4da29ea378c1b776fff8e2		ensembl-data-use	verified	Ensembl Plants release 60; TAIR10 reference assembly
