version_id	checkpoint	checkpoint_step	task	probe	method	split	train_n	test_n	train_per_class_requested	test_per_class_requested	max_seq_len	accuracy	macro_f1	balanced_accuracy	note
formal_caduceus_rc_stageB_step1000	training_server_transfer/runs/Stage_B_formal_caduceus_rc/checkpoints/step_00001000.pt	1000	region_bucket_classification	nearest_centroid	CropGenome-FM formal CaduceusRC frozen embedding	train_prototypes_to_test	56	56	8	8	128	0.214286	0.200834	0.214286	first_pass_cpu_bounded_8_per_class_128bp
formal_caduceus_rc_stageB_step1000	training_server_transfer/runs/Stage_B_formal_caduceus_rc/checkpoints/step_00001000.pt	1000	region_bucket_classification	nearest_centroid	1-mer composition baseline	train_prototypes_to_test	56	56	8	8	128	0.178571	0.147429	0.178571	first_pass_cpu_bounded_8_per_class_128bp
formal_caduceus_rc_stageB_step2000	training_server_transfer/runs/Stage_B_formal_caduceus_rc/checkpoints/step_00002000.pt	2000	region_bucket_classification	nearest_centroid	CropGenome-FM formal CaduceusRC frozen embedding	train_prototypes_to_test	56	56	8	8	128	0.125	0.0887102	0.125	first_pass_cpu_bounded_8_per_class_128bp
formal_caduceus_rc_stageB_step2000	training_server_transfer/runs/Stage_B_formal_caduceus_rc/checkpoints/step_00002000.pt	2000	region_bucket_classification	nearest_centroid	1-mer composition baseline	train_prototypes_to_test	56	56	8	8	128	0.178571	0.147429	0.178571	first_pass_cpu_bounded_8_per_class_128bp
formal_caduceus_rc_stageB_step3000	training_server_transfer/runs/Stage_B_formal_caduceus_rc/checkpoints/step_00003000.pt	3000	region_bucket_classification	nearest_centroid	CropGenome-FM formal CaduceusRC frozen embedding	train_prototypes_to_test	56	56	8	8	128	0.214286	0.176644	0.214286	first_pass_cpu_bounded_8_per_class_128bp
formal_caduceus_rc_stageB_step3000	training_server_transfer/runs/Stage_B_formal_caduceus_rc/checkpoints/step_00003000.pt	3000	region_bucket_classification	nearest_centroid	1-mer composition baseline	train_prototypes_to_test	56	56	8	8	128	0.178571	0.147429	0.178571	first_pass_cpu_bounded_8_per_class_128bp
formal_caduceus_rc_stageB_step5000	training_server_transfer/runs/Stage_B_formal_caduceus_rc/checkpoints/step_00005000.pt	5000	region_bucket_classification	nearest_centroid	CropGenome-FM formal CaduceusRC frozen embedding	train_prototypes_to_test	56	56	8	8	128	0.267857	0.24275	0.267857	first_pass_cpu_bounded_8_per_class_128bp
formal_caduceus_rc_stageB_step5000	training_server_transfer/runs/Stage_B_formal_caduceus_rc/checkpoints/step_00005000.pt	5000	region_bucket_classification	nearest_centroid	1-mer composition baseline	train_prototypes_to_test	56	56	8	8	128	0.178571	0.147429	0.178571	first_pass_cpu_bounded_8_per_class_128bp
formal_caduceus_rc_stageB_step8000	training_server_transfer/runs/Stage_B_formal_caduceus_rc/checkpoints/step_00008000.pt	8000	region_bucket_classification	nearest_centroid	CropGenome-FM formal CaduceusRC frozen embedding	train_prototypes_to_test	56	56	8	8	128	0.232143	0.208736	0.232143	first_pass_cpu_bounded_8_per_class_128bp
formal_caduceus_rc_stageB_step8000	training_server_transfer/runs/Stage_B_formal_caduceus_rc/checkpoints/step_00008000.pt	8000	region_bucket_classification	nearest_centroid	1-mer composition baseline	train_prototypes_to_test	56	56	8	8	128	0.178571	0.147429	0.178571	first_pass_cpu_bounded_8_per_class_128bp
