class	support	tp	fp	fn	precision	recall	f1	version_id	task	probe	method
coding	8	4	14	4	0.222222	0.5	0.307692	v1_backbone_stageB_step5000	region_bucket_classification	nearest_centroid	CropGenome-FM v1 frozen embedding
splice	8	0	3	8	0	0	0	v1_backbone_stageB_step5000	region_bucket_classification	nearest_centroid	CropGenome-FM v1 frozen embedding
promoter	8	1	6	7	0.142857	0.125	0.133333	v1_backbone_stageB_step5000	region_bucket_classification	nearest_centroid	CropGenome-FM v1 frozen embedding
utr	8	2	11	6	0.153846	0.25	0.190476	v1_backbone_stageB_step5000	region_bucket_classification	nearest_centroid	CropGenome-FM v1 frozen embedding
tes	8	0	1	8	0	0	0	v1_backbone_stageB_step5000	region_bucket_classification	nearest_centroid	CropGenome-FM v1 frozen embedding
gene_body	8	1	6	7	0.142857	0.125	0.133333	v1_backbone_stageB_step5000	region_bucket_classification	nearest_centroid	CropGenome-FM v1 frozen embedding
background	8	3	4	5	0.428571	0.375	0.4	v1_backbone_stageB_step5000	region_bucket_classification	nearest_centroid	CropGenome-FM v1 frozen embedding
coding	8	0	2	8	0	0	0	v1_backbone_stageB_step5000	region_bucket_classification	nearest_centroid	1-mer composition baseline
splice	8	1	10	7	0.0909091	0.125	0.105263	v1_backbone_stageB_step5000	region_bucket_classification	nearest_centroid	1-mer composition baseline
promoter	8	0	2	8	0	0	0	v1_backbone_stageB_step5000	region_bucket_classification	nearest_centroid	1-mer composition baseline
utr	8	1	1	7	0.5	0.125	0.2	v1_backbone_stageB_step5000	region_bucket_classification	nearest_centroid	1-mer composition baseline
tes	8	2	3	6	0.4	0.25	0.307692	v1_backbone_stageB_step5000	region_bucket_classification	nearest_centroid	1-mer composition baseline
gene_body	8	5	22	3	0.185185	0.625	0.285714	v1_backbone_stageB_step5000	region_bucket_classification	nearest_centroid	1-mer composition baseline
background	8	1	6	7	0.142857	0.125	0.133333	v1_backbone_stageB_step5000	region_bucket_classification	nearest_centroid	1-mer composition baseline
