item	value
run_id	formal_caduceus_rc_stageB_mb5
log_path	training_server_transfer/logs/formal_caduceus_rc_stage_B_gpu2_mb5_20260617_170004.log
train_points	590
validation_points	6
first_train_step	10
latest_train_step	8380
latest_train_loss	0.995244732925
latest_train_mlm_loss	0.99172939573
latest_train_rc_loss	0.117177911103
latest_learning_rate	0.0001676
latest_validation_step	8000
latest_validation_loss	1.1225684362
latest_validation_mlm_loss	1.1199214051
latest_validation_rc_loss	0.0882345005812
remote_log_mtime	2026-06-22 10:40:55
