task_id	task_label	method	method_label	source_method	train_fraction	n_seeds	train_samples_mean	validation_samples	test_samples	balanced_accuracy_std	rc_mcc_mean	rc_prediction_agreement_mean	rc_embedding_cosine_mean	accuracy_mean	balanced_accuracy_mean	mcc_mean	auroc_mean	auprc_mean	f1_mean	brier_mean	ece_mean
promoter_TSS	Promoter / TSS	best_kmer	Best k-mer	3mer_linear_probe	0.01	5	47.0	1024	1024	0.022279754973730144				0.544921875	0.544921875	0.10017040501338363	0.5763378143310547	0.5715229125763739	0.4549821721263282	0.2783658705321844	0.15429615440298222
promoter_TSS	Promoter / TSS	random_init	Random init	random_init	0.01	5	47.0	1024	1024	0.019310273372348818	0.12332763805578106	1.0	1.0	0.5576171875	0.5576171875	0.12332763805578106	0.5873649597167969	0.5707977320481428	0.5016121968756757	0.35905691214626156	0.32447422678549426
promoter_TSS	Promoter / TSS	DNABERT2_117M	DNABERT-2 117M	DNABERT2_117M	0.01	5	47.0	1024	1024	0.02349236741804233	0.04026984211204744	0.717578125	0.9444975852966309	0.5578125	0.5578125	0.12162974148676967	0.5978683471679688	0.5893724561586318	0.49611742104006745	0.3654317121532536	0.33651897749613263
promoter_TSS	Promoter / TSS	NTv2_100M_multi_species	NT-v2 100M*	NTv2_100M_multi_species	0.01	5	47.0	1024	1024	0.02304149500235085	0.040425574510392116	0.6111328125	0.9737056493759155	0.5759765625	0.5759765625	0.16328098083942527	0.6194503784179688	0.6156376717933199	0.5240312266207448	0.3522201068517629	0.32483922988811254
promoter_TSS	Promoter / TSS	step14000	CropGenome-FM step14000	step14000	0.01	5	47.0	1024	1024	0.02718985711764821	0.23705993729361063	1.0	1.0	0.6046875	0.6046875	0.23705993729361063	0.6410560607910156	0.6164798922483202	0.5160978637019304	0.3728133293221191	0.3629279250530098
promoter_TSS	Promoter / TSS	step17000	CropGenome-FM step17000	step17000	0.01	5	47.0	1024	1024	0.024341689604117523	0.2704813345896108	1.0	1.0	0.6244140625	0.6244140625	0.2704813345896108	0.6553611755371094	0.6087241625732964	0.537289867057442	0.358393054297356	0.3513792791548038
promoter_TSS	Promoter / TSS	best_kmer	Best k-mer	6mer_linear_probe	0.1	5	414.0	1024	1024	0.013556291556745316				0.60078125	0.60078125	0.21060722973056425	0.6342166900634766	0.6250774986772395	0.5626796651268298	0.3574469444706275	0.33860469150997763
promoter_TSS	Promoter / TSS	random_init	Random init	random_init	0.1	5	414.0	1024	1024	0.02732281564705242	0.20598883362427017	1.0	1.0	0.601171875	0.601171875	0.20598883362427017	0.6372768402099609	0.6102953269914039	0.5893192550558344	0.298751078198578	0.23123676263951437
promoter_TSS	Promoter / TSS	DNABERT2_117M	DNABERT-2 117M	DNABERT2_117M	0.1	5	414.0	1024	1024	0.009331155613743166	0.11791411116677826	0.698046875	0.9444975852966309	0.6275390625	0.6275390625	0.26261149701655284	0.6779460906982422	0.6738410502593751	0.5850554451312079	0.3124762762485183	0.28300669203989576
promoter_TSS	Promoter / TSS	NTv2_100M_multi_species	NT-v2 100M*	NTv2_100M_multi_species	0.1	5	414.0	1024	1024	0.008011384492966282	0.06580718524211375	0.7064453125	0.9737056493759155	0.608984375	0.608984375	0.2412405425910714	0.6570549011230469	0.6630371293229412	0.5047298984881909	0.293278400346111	0.2345163028731975
promoter_TSS	Promoter / TSS	step14000	CropGenome-FM step14000	step14000	0.1	5	414.0	1024	1024	0.02509404612897344	0.29627381371527595	1.0	1.0	0.640234375	0.640234375	0.29627381371527595	0.6881206512451172	0.7137606945941972	0.5781251962164244	0.2747084106660729	0.21660298694900165
promoter_TSS	Promoter / TSS	step17000	CropGenome-FM step17000	step17000	0.1	5	414.0	1024	1024	0.01974250979777481	0.3061785538597143	1.0	1.0	0.6482421875	0.6482421875	0.3061785538597143	0.6877597808837891	0.7093246750028968	0.600308559916422	0.2884627469590023	0.24798299541860008
promoter_TSS	Promoter / TSS	best_kmer	Best k-mer	6mer_linear_probe	1.0	5	4096.0	1024	1024	0.0				0.611328125	0.611328125	0.2230924036990845	0.6421012878417969	0.6142829703045717	0.6231060606060607	0.3586082379264376	0.35099242618663085
promoter_TSS	Promoter / TSS	random_init	Random init	random_init	1.0	5	4096.0	1024	1024	0.0	0.17382845655178514	1.0	1.0	0.5869140625	0.5869140625	0.17382845655178514	0.6117286682128906	0.5872264281027646	0.5865102639296188	0.3134632879750945	0.24990485231955972
promoter_TSS	Promoter / TSS	DNABERT2_117M	DNABERT-2 117M	DNABERT2_117M	1.0	5	4096.0	1024	1024	0.0	0.1152048663563345	0.7060546875	0.9444975852966309	0.6494140625	0.6494140625	0.30784334366592797	0.6950035095214844	0.7049961199089984	0.6015538290788014	0.25004062226294044	0.17098159608164565
promoter_TSS	Promoter / TSS	NTv2_100M_multi_species	NT-v2 100M*	NTv2_100M_multi_species	1.0	5	4096.0	1024	1024	0.0	0.10026343734404627	0.5908203125	0.9737056493759155	0.6689453125	0.6689453125	0.3379428395936232	0.7202224731445312	0.7278100672745149	0.6660098522167488	0.22447333558819477	0.09843058303295038
promoter_TSS	Promoter / TSS	step14000	CropGenome-FM step14000	step14000	1.0	5	4096.0	1024	1024	0.0	0.39873175174599795	1.0	1.0	0.6875	0.6875	0.39873175174599795	0.7200775146484375	0.7647483782589567	0.6235294117647058	0.2251279603506086	0.12151719045436948
promoter_TSS	Promoter / TSS	step17000	CropGenome-FM step17000	step17000	1.0	5	4096.0	1024	1024	0.0	0.3999169095719742	1.0	1.0	0.6884765625	0.6884765625	0.3999169095719742	0.7226142883300781	0.7549923989031333	0.6260257913247362	0.2287847089670166	0.12349594640136274
splice_donor_acceptor	Splice donor / acceptor	best_kmer	Best k-mer	3mer_linear_probe	0.01	5	45.0	1024	1024	0.02168980267967422				0.5482421875	0.5482421875	0.1335990562985161	0.5741153717041015	0.5518986737401349	0.6642083216159617	0.2514559176025375	0.06890981593751348
splice_donor_acceptor	Splice donor / acceptor	random_init	Random init	random_init	0.01	5	45.0	1024	1024	0.008412052916936731	0.04863369384220877	1.0	1.0	0.512890625	0.512890625	0.04863369384220877	0.5336246490478516	0.5206868064559799	0.5778121730503059	0.37748490290142456	0.33480101038467086
splice_donor_acceptor	Splice donor / acceptor	DNABERT2_117M	DNABERT-2 117M	DNABERT2_117M	0.01	5	45.0	1024	1024	0.01871589101314751	0.10218155949393548	0.6671875	0.947960615158081	0.5853515625	0.5853515625	0.17669548524723522	0.6276386260986329	0.6170345307354915	0.6049745690936155	0.33101258026421804	0.2906035460957949
splice_donor_acceptor	Splice donor / acceptor	NTv2_100M_multi_species	NT-v2 100M*	NTv2_100M_multi_species	0.01	5	45.0	1024	1024	0.025016016597887467	0.06633350692102079	0.732421875	0.9735897183418274	0.549609375	0.549609375	0.12517501843595466	0.5887451171875	0.5767502803841325	0.6466126086314125	0.3425916847374332	0.29421936855251996
splice_donor_acceptor	Splice donor / acceptor	step14000	CropGenome-FM step14000	step14000	0.01	5	45.0	1024	1024	0.033885452290815375	0.6257547597169122	1.0	1.0	0.8095703125	0.8095703125	0.6257547597169122	0.8726333618164063	0.8245508496013823	0.7960598421198588	0.18084882486002485	0.1743285826998462
splice_donor_acceptor	Splice donor / acceptor	step17000	CropGenome-FM step17000	step17000	0.01	5	45.0	1024	1024	0.01027481127934581	0.6104821372195122	1.0	1.0	0.8025390625	0.8025390625	0.6104821372195122	0.8791961669921875	0.8185449786921538	0.7909194036929571	0.17946394747586214	0.1746334982689428
splice_donor_acceptor	Splice donor / acceptor	best_kmer	Best k-mer	3mer_linear_probe	0.1	5	415.0	1024	1024	0.011521782190431738				0.6228515625	0.6228515625	0.2582511680724606	0.6814109802246093	0.6514579383899599	0.6560472473175327	0.22750608521379978	0.05494037032476627
splice_donor_acceptor	Splice donor / acceptor	random_init	Random init	random_init	0.1	5	415.0	1024	1024	0.008751002662976504	0.12416597290055194	1.0	1.0	0.5375	0.5375	0.12416597290055194	0.5848838806152343	0.5737677321387392	0.6102893125463291	0.3030515427182287	0.21310409368050415
splice_donor_acceptor	Splice donor / acceptor	DNABERT2_117M	DNABERT-2 117M	DNABERT2_117M	0.1	5	415.0	1024	1024	0.017948570530324448	0.14428351769664158	0.6361328125	0.947960615158081	0.665625	0.665625	0.3331489693439096	0.7271736145019532	0.7098299863494063	0.6649023353140943	0.264347848180662	0.2198559355139856
splice_donor_acceptor	Splice donor / acceptor	NTv2_100M_multi_species	NT-v2 100M*	NTv2_100M_multi_species	0.1	5	415.0	1024	1024	0.015557716461740336	0.08833626805547712	0.5783203125	0.9735897183418274	0.637109375	0.637109375	0.2861471162759079	0.6962684631347656	0.6922646551074091	0.6299738616240632	0.27054974097872087	0.211974245180187
splice_donor_acceptor	Splice donor / acceptor	step14000	CropGenome-FM step14000	step14000	0.1	5	415.0	1024	1024	0.011253797102256198	0.6984118746857548	1.0	1.0	0.8462890625	0.8462890625	0.6984118746857548	0.9128887176513671	0.917534912486891	0.8361706688489523	0.12294566545961168	0.09323691183161081
splice_donor_acceptor	Splice donor / acceptor	step17000	CropGenome-FM step17000	step17000	0.1	5	415.0	1024	1024	0.010843802064446335	0.6507693230198004	1.0	1.0	0.8228515625	0.8228515625	0.6507693230198004	0.8925411224365234	0.8791638899234023	0.8128947325441862	0.14492486125155088	0.12377613035090702
splice_donor_acceptor	Splice donor / acceptor	best_kmer	Best k-mer	3mer_linear_probe	1.0	5	4096.0	1024	1024	0.0				0.6796875	0.6796875	0.35977047300588794	0.7458572387695312	0.7331620592022869	0.6870229007633589	0.2056390974268107	0.0335765874315257
splice_donor_acceptor	Splice donor / acceptor	random_init	Random init	random_init	1.0	5	4096.0	1024	1024	0.0	0.25868918003394537	1.0	1.0	0.626953125	0.626953125	0.25868918003394537	0.6792335510253906	0.6629965640943281	0.6595365418894831	0.24248919011463227	0.11694609315320378
splice_donor_acceptor	Splice donor / acceptor	DNABERT2_117M	DNABERT-2 117M	DNABERT2_117M	1.0	5	4096.0	1024	1024	0.0	0.10865923383631684	0.556640625	0.947960615158081	0.708984375	0.708984375	0.4199761498175267	0.7861785888671875	0.7933769763088288	0.7225325884543762	0.2039138089637392	0.11236260254020183
splice_donor_acceptor	Splice donor / acceptor	NTv2_100M_multi_species	NT-v2 100M*	NTv2_100M_multi_species	1.0	5	4096.0	1024	1024	0.0	0.1068727450088702	0.5712890625	0.9735897183418274	0.7158203125	0.7158203125	0.43174027748727284	0.7947769165039062	0.7947907492600371	0.7127344521224086	0.18700535135939314	0.04507175555136199
