train_fraction	method	method_label	mean_balanced_accuracy_across_tasks
0.01	best_kmer	Best k-mer	0.556836
0.01	random_init	Random init	0.527799
0.01	DNABERT2_117M	DNABERT-2 117M	0.566146
0.01	NTv2_100M_multi_species	NT-v2 100M*	0.566276
0.01	step14000	CropGenome-FM step14000	0.660156
0.01	step17000	CropGenome-FM step17000	0.666862
0.1	best_kmer	Best k-mer	0.610286
0.1	random_init	Random init	0.558333
0.1	DNABERT2_117M	DNABERT-2 117M	0.630599
0.1	NTv2_100M_multi_species	NT-v2 100M*	0.622526
0.1	step14000	CropGenome-FM step14000	0.701042
0.1	step17000	CropGenome-FM step17000	0.687630
1.0	best_kmer	Best k-mer	0.639974
1.0	random_init	Random init	0.596680
1.0	DNABERT2_117M	DNABERT-2 117M	0.658854
1.0	NTv2_100M_multi_species	NT-v2 100M*	0.681315
1.0	step14000	CropGenome-FM step14000	0.738607
1.0	step17000	CropGenome-FM step17000	0.733724
