checkpoint	method	true_class_id	true_class_name	pred_class_id	pred_class_name	count
step_00007000	one_mer_nearest_centroid	0	background	0	background	13
step_00007000	one_mer_nearest_centroid	0	background	1	coding	0
step_00007000	one_mer_nearest_centroid	0	background	2	gene_body	2
step_00007000	one_mer_nearest_centroid	0	background	3	promoter	1
step_00007000	one_mer_nearest_centroid	0	background	4	splice	8
step_00007000	one_mer_nearest_centroid	0	background	5	tes	2
step_00007000	one_mer_nearest_centroid	0	background	6	utr	6
step_00007000	one_mer_nearest_centroid	1	coding	0	background	12
step_00007000	one_mer_nearest_centroid	1	coding	1	coding	1
step_00007000	one_mer_nearest_centroid	1	coding	2	gene_body	2
step_00007000	one_mer_nearest_centroid	1	coding	3	promoter	11
step_00007000	one_mer_nearest_centroid	1	coding	4	splice	5
step_00007000	one_mer_nearest_centroid	1	coding	5	tes	1
step_00007000	one_mer_nearest_centroid	1	coding	6	utr	0
step_00007000	one_mer_nearest_centroid	2	gene_body	0	background	8
step_00007000	one_mer_nearest_centroid	2	gene_body	1	coding	2
step_00007000	one_mer_nearest_centroid	2	gene_body	2	gene_body	2
step_00007000	one_mer_nearest_centroid	2	gene_body	3	promoter	14
step_00007000	one_mer_nearest_centroid	2	gene_body	4	splice	2
step_00007000	one_mer_nearest_centroid	2	gene_body	5	tes	2
step_00007000	one_mer_nearest_centroid	2	gene_body	6	utr	2
step_00007000	one_mer_nearest_centroid	3	promoter	0	background	9
step_00007000	one_mer_nearest_centroid	3	promoter	1	coding	2
step_00007000	one_mer_nearest_centroid	3	promoter	2	gene_body	3
step_00007000	one_mer_nearest_centroid	3	promoter	3	promoter	14
step_00007000	one_mer_nearest_centroid	3	promoter	4	splice	3
step_00007000	one_mer_nearest_centroid	3	promoter	5	tes	0
step_00007000	one_mer_nearest_centroid	3	promoter	6	utr	1
step_00007000	one_mer_nearest_centroid	4	splice	0	background	7
step_00007000	one_mer_nearest_centroid	4	splice	1	coding	0
step_00007000	one_mer_nearest_centroid	4	splice	2	gene_body	2
