checkpoint	checkpoint_step	task	eval_split	method	train_sample_count	eval_sample_count	accuracy	macro_f1	balanced_accuracy	note
step_00001000	1000	full_region_annotation_probe	val	model_embedding_nearest_centroid	224	224	0.21428571	0.17415779	0.21428571	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00001000	1000	full_region_annotation_probe	val	model_region_head_argmax	224	224	0.15178571	0.07770457	0.15178571	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00001000	1000	full_region_annotation_probe	val	one_mer_nearest_centroid	224	224	0.18750000	0.15421042	0.18750000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00002000	2000	full_region_annotation_probe	val	model_embedding_nearest_centroid	224	224	0.25892857	0.20530071	0.25892857	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00002000	2000	full_region_annotation_probe	val	model_region_head_argmax	224	224	0.22321429	0.16455849	0.22321429	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00002000	2000	full_region_annotation_probe	val	one_mer_nearest_centroid	224	224	0.18750000	0.15421042	0.18750000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00003000	3000	full_region_annotation_probe	val	model_embedding_nearest_centroid	224	224	0.26785714	0.21948814	0.26785714	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00003000	3000	full_region_annotation_probe	val	model_region_head_argmax	224	224	0.24107143	0.18528397	0.24107143	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00003000	3000	full_region_annotation_probe	val	one_mer_nearest_centroid	224	224	0.18750000	0.15421042	0.18750000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00004000	4000	full_region_annotation_probe	val	model_embedding_nearest_centroid	224	224	0.28125000	0.23152187	0.28125000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00004000	4000	full_region_annotation_probe	val	model_region_head_argmax	224	224	0.21875000	0.15940175	0.21875000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00004000	4000	full_region_annotation_probe	val	one_mer_nearest_centroid	224	224	0.18750000	0.15421042	0.18750000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00005000	5000	full_region_annotation_probe	val	model_embedding_nearest_centroid	224	224	0.29910714	0.26185425	0.29910714	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00005000	5000	full_region_annotation_probe	val	model_region_head_argmax	224	224	0.22767857	0.15875205	0.22767857	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00005000	5000	full_region_annotation_probe	val	one_mer_nearest_centroid	224	224	0.18750000	0.15421042	0.18750000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
step_00006000	6000	full_region_annotation_probe	val	model_embedding_nearest_centroid	224	224	0.28125000	0.23162549	0.28125000	lightweight sampled region probe; not a substitute for splice/promoter/TES formal benchmarks
