panel	context_bp	task_group	model_id	metric	value	seed_scope
core_3_task_macro	512	3 binary structure tasks	1mer_linear_probe	macro AUPRC	0.59071312	5 probe seeds
core_3_task_macro	512	3 binary structure tasks	3mer_linear_probe	macro AUPRC	0.69208465	5 probe seeds
core_3_task_macro	512	3 binary structure tasks	6mer_linear_probe	macro AUPRC	0.67242984	5 probe seeds
core_3_task_macro	512	3 binary structure tasks	AgroNT_1B	macro AUPRC	0.81148688	5 probe seeds
core_3_task_macro	512	3 binary structure tasks	Caduceus_PS_131k	macro AUPRC	0.74656447	5 probe seeds
core_3_task_macro	512	3 binary structure tasks	CropGenomeFM_random_init	macro AUPRC	0.66851007	5 probe seeds
core_3_task_macro	512	3 binary structure tasks	CropGenomeFM_step14000	macro AUPRC	0.83275809	5 probe seeds
core_3_task_macro	512	3 binary structure tasks	DNABERT2_117M	macro AUPRC	0.74357438	5 probe seeds
core_3_task_macro	512	3 binary structure tasks	Evo2_1B_base	macro AUPRC	0.58255474	5 probe seeds
core_3_task_macro	512	3 binary structure tasks	HyenaDNA_medium_160k	macro AUPRC	0.75037223	5 probe seeds
core_3_task_macro	512	3 binary structure tasks	NTv2_100M_multi_species	macro AUPRC	0.77191014	5 probe seeds
core_3_task_macro	512	3 binary structure tasks	PlantCAD2_Small	macro AUPRC	0.84499447	5 probe seeds
core_3_task_macro	512	3 binary structure tasks	PlantCaduceus_l32	macro AUPRC	0.84452280	5 probe seeds
core_3_task_macro	512	3 binary structure tasks	central_33bp_linear_probe	macro AUPRC	0.75815537	5 probe seeds
core_3_task_macro	512	3 binary structure tasks	composition_linear_probe	macro AUPRC	0.61297835	5 probe seeds
core_3_task_macro	512	3 binary structure tasks	majority_baseline	macro AUPRC	0.30734086	5 probe seeds
core_3_task_macro	2048	3 binary structure tasks	1mer_linear_probe	macro AUPRC	0.54846223	5 probe seeds
core_3_task_macro	2048	3 binary structure tasks	3mer_linear_probe	macro AUPRC	0.66752083	5 probe seeds
core_3_task_macro	2048	3 binary structure tasks	6mer_linear_probe	macro AUPRC	0.62139584	5 probe seeds
core_3_task_macro	2048	3 binary structure tasks	AgroNT_1B	macro AUPRC	0.85141713	5 probe seeds
core_3_task_macro	2048	3 binary structure tasks	Caduceus_PS_131k	macro AUPRC	0.77411981	5 probe seeds
