species	genus	assemblies	train	validation	test	genbank	refseq	genome_bytes	annotation_bytes
Arachis hypogaea	Arachis	9	7	1	1	8	1	6885295295	130378480
Beta vulgaris	Beta	2	1	1	0	1	1	333376382	14467706
Brassica napus	Brassica	5	4	1	0	4	1	1342153515	86582074
Brassica oleracea	Brassica	4	3	0	1	3	1	667451826	40503375
Brassica rapa	Brassica	6	4	1	1	5	1	622896641	51784078
Cicer arietinum	Cicer	1	1	0	0	0	1	144900890	9134001
Citrullus lanatus	Citrullus	1	1	0	0	1	0	113766894	4010033
Cucumis melo	Cucumis	6	5	1	0	5	1	681906757	37721297
Cucumis sativus	Cucumis	1	0	0	1	0	1	71224682	7763605
Daucus carota	Daucus	3	1	1	1	2	1	386240517	22860613
Glycine max	Glycine	10	8	1	1	9	1	2998714788	128096637
Gossypium hirsutum	Gossypium	3	1	1	1	2	1	2118018201	71872818
Helianthus annuus	Helianthus	9	7	1	1	8	1	8097097230	134318644
Hordeum vulgare	Hordeum	83	65	9	9	82	1	106304970965	975123353
Lactuca sativa	Lactuca	1	1	0	0	0	1	788072127	13692789
Malus domestica	Malus	42	32	5	5	41	1	8472831162	386497444
Manihot esculenta	Manihot	1	1	0	0	0	1	188402359	11770716
Musa acuminata	Musa	4	2	1	1	3	1	902299218	51608365
Oryza sativa	Oryza	23	17	3	3	22	1	2723321219	180672119
Phaseolus vulgaris	Phaseolus	2	1	1	0	1	1	336325359	27785356
Prunus persica	Prunus	2	1	1	0	1	1	132852900	7715551
Saccharum spontaneum	Saccharum	1	1	0	0	1	0	957727589	14066694
Setaria italica	Setaria	1	1	0	0	0	1	127656729	8636775
Solanum lycopersicum	Solanum	3	3	0	0	2	1	678622437	26897442
Solanum tuberosum	Solanum	6	4	1	1	5	1	1385439236	37647242
Sorghum bicolor	Sorghum	2	1	1	0	1	1	417804834	16534260
Triticum aestivum	Triticum	16	12	2	2	15	1	60270225085	218375879
Vigna radiata	Vigna	1	1	0	0	0	1	137333161	9760965
Vitis vinifera	Vitis	3	1	1	1	2	1	564473863	35985572
Zea mays	Zea	7	5	1	1	6	1	4632238818	78654231
