context_bp	method	locked_custom_auprc_macro	tie_safe_average_precision_macro	delta	max_abs_task_seed_delta	n_task_seed_rows	audit_interpretation
512	1mer_linear_probe	0.5907131245	0.5907459127	0.0000327881	0.0000953043	15	tie-sensitive baseline; use corrected value in next release
512	3mer_linear_probe	0.6920846535	0.6921219859	0.0000373324	0.0001119972	15	tie-sensitive baseline; use corrected value in next release
512	6mer_linear_probe	0.6724298445	0.6933946819	0.0209648374	0.0295154929	15	tie-sensitive baseline; use corrected value in next release
512	AgroNT_1B	0.8114868805	0.8114952909	0.0000084104	0.0000230967	15	main learned-model ranking unchanged
512	Caduceus_PS_131k	0.7465644709	0.7465701316	0.0000056608	0.0000169823	15	main learned-model ranking unchanged
512	CropGenomeFM_random_init	0.6685100744	0.6685222394	0.0000121650	0.0000364949	15	main learned-model ranking unchanged
512	CropGenomeFM_step14000	0.8327580914	0.8328215176	0.0000634262	0.0001902787	15	main learned-model ranking unchanged
512	DNABERT2_117M	0.7435743767	0.7435950468	0.0000206701	0.0000620102	15	main learned-model ranking unchanged
512	Evo2_1B_base	0.5825547438	0.5825782560	0.0000235122	0.0000705366	15	main learned-model ranking unchanged
512	HyenaDNA_medium_160k	0.7503722296	0.7503919245	0.0000196949	0.0000590848	15	main learned-model ranking unchanged
512	NTv2_100M_multi_species	0.7719101427	0.7719177954	0.0000076527	0.0000229581	15	main learned-model ranking unchanged
512	PlantCAD2_Small	0.8449944654	0.8450100457	0.0000155803	0.0000292171	15	main learned-model ranking unchanged
512	PlantCaduceus_l32	0.8445228048	0.8445280629	0.0000052581	0.0000157742	15	main learned-model ranking unchanged
512	central_33bp_linear_probe	0.7581553718	0.7581830610	0.0000276891	0.0000816519	15	tie-sensitive baseline; use corrected value in next release
512	composition_linear_probe	0.6129783478	0.6130079858	0.0000296380	0.0000857406	15	tie-sensitive baseline; use corrected value in next release
512	majority_baseline	0.3073408623	0.5000000000	0.1926591377	0.1926591377	3	tie-sensitive baseline; use corrected value in next release
2048	1mer_linear_probe	0.5484622345	0.5484679095	0.0000056749	0.0000170248	15	tie-sensitive baseline; use corrected value in next release
2048	3mer_linear_probe	0.6675208334	0.6675229066	0.0000020732	0.0000062197	15	tie-sensitive baseline; use corrected value in next release
2048	6mer_linear_probe	0.6213958412	0.6723971492	0.0510013080	0.0609997620	15	tie-sensitive baseline; use corrected value in next release
2048	AgroNT_1B	0.8514171275	0.8514303312	0.0000132036	0.0000346322	15	main learned-model ranking unchanged
2048	Caduceus_PS_131k	0.7741198099	0.7741231998	0.0000033899	0.0000101697	15	main learned-model ranking unchanged
2048	CropGenomeFM_random_init	0.7001627536	0.7001648978	0.0000021442	0.0000064325	15	main learned-model ranking unchanged
2048	CropGenomeFM_step14000	0.8834530062	0.8834534037	0.0000003974	0.0000011922	15	main learned-model ranking unchanged
2048	Evo2_1B_base	0.6033407299	0.6033459765	0.0000052466	0.0000157398	15	main learned-model ranking unchanged
2048	HyenaDNA_medium_160k	0.7711581113	0.7711598740	0.0000017627	0.0000052880	15	main learned-model ranking unchanged
2048	NTv2_100M_multi_species	0.8128553404	0.8128573813	0.0000020409	0.0000061228	15	main learned-model ranking unchanged
2048	PlantCAD2_Small	0.8489029047	0.8489556039	0.0000526992	0.0001360718	15	main learned-model ranking unchanged
2048	PlantCaduceus_l32	0.8479565587	0.8480674731	0.0001109143	0.0003255208	15	main learned-model ranking unchanged
2048	central_33bp_linear_probe	0.7581553718	0.7581830610	0.0000276891	0.0000816519	15	tie-sensitive baseline; use corrected value in next release
2048	composition_linear_probe	0.5684297074	0.5684335699	0.0000038625	0.0000115875	15	tie-sensitive baseline; use corrected value in next release
2048	majority_baseline	0.3073408623	0.5000000000	0.1926591377	0.1926591377	3	tie-sensitive baseline; use corrected value in next release
8192	1mer_linear_probe	0.5399648540	0.5399664695	0.0000016155	0.0000048465	15	tie-sensitive baseline; use corrected value in next release
8192	3mer_linear_probe	0.6579461109	0.6579466322	0.0000005213	0.0000015638	15	tie-sensitive baseline; use corrected value in next release
8192	6mer_linear_probe	0.6066737455	0.6565627338	0.0498889883	0.0624534879	15	tie-sensitive baseline; use corrected value in next release
8192	Caduceus_PS_131k	0.7716820051	0.7716835652	0.0000015601	0.0000046803	15	main learned-model ranking unchanged
8192	CropGenomeFM_random_init	0.7065166522	0.7065170518	0.0000003996	0.0000011988	15	main learned-model ranking unchanged
8192	CropGenomeFM_step14000	0.8548977407	0.8548981684	0.0000004277	0.0000012832	15	main learned-model ranking unchanged
8192	Evo2_1B_base	0.5385642343	0.5385663264	0.0000020921	0.0000062764	15	main learned-model ranking unchanged
8192	HyenaDNA_medium_160k	0.6863790414	0.6863794302	0.0000003889	0.0000011666	15	main learned-model ranking unchanged
8192	PlantCAD2_Small	0.8144329235	0.8144333364	0.0000004129	0.0000012387	15	main learned-model ranking unchanged
8192	PlantCaduceus_l32	0.8222453624	0.8222462003	0.0000008378	0.0000012647	15	main learned-model ranking unchanged
8192	central_33bp_linear_probe	0.7581553718	0.7581830610	0.0000276891	0.0000816519	15	tie-sensitive baseline; use corrected value in next release
8192	composition_linear_probe	0.5445104672	0.5445114688	0.0000010015	0.0000030045	15	tie-sensitive baseline; use corrected value in next release
8192	majority_baseline	0.3073408623	0.5000000000	0.1926591377	0.1926591377	3	tie-sensitive baseline; use corrected value in next release
