context_bp	task_id	method	primary_metric	value	train_fraction	n_probe_seeds	n_train	n_validation	n_test	evidence_role
512	TES_polyA	1mer_linear_probe	AUPRC	0.59800653	1.0	5	4096.0	1024	1024	formal_test
512	TES_polyA	3mer_linear_probe	AUPRC	0.74939177	1.0	5	4096.0	1024	1024	formal_test
512	TES_polyA	6mer_linear_probe	AUPRC	0.69251159	1.0	5	4096.0	1024	1024	formal_test
512	TES_polyA	AgroNT_1B	AUPRC	0.81804094	1.0	5	4096.0	1024	1024	formal_test
512	TES_polyA	Caduceus_PS_131k	AUPRC	0.74935017	1.0	5	4096.0	1024	1024	formal_test
512	TES_polyA	CropGenomeFM_random_init	AUPRC	0.66603224	1.0	5	4096.0	1024	1024	formal_test
512	TES_polyA	CropGenomeFM_step14000	AUPRC	0.80149965	1.0	5	4096.0	1024	1024	formal_test
512	TES_polyA	DNABERT2_117M	AUPRC	0.77342558	1.0	5	4096.0	1024	1024	formal_test
512	TES_polyA	Evo2_1B_base	AUPRC	0.57613728	1.0	5	4096.0	1024	1024	formal_test
512	TES_polyA	HyenaDNA_medium_160k	AUPRC	0.77746096	1.0	5	4096.0	1024	1024	formal_test
512	TES_polyA	NTv2_100M_multi_species	AUPRC	0.77970359	1.0	5	4096.0	1024	1024	formal_test
512	TES_polyA	PlantCAD2_Small	AUPRC	0.85256533	1.0	5	4096.0	1024	1024	formal_test
512	TES_polyA	PlantCaduceus_l32	AUPRC	0.86577755	1.0	5	4096.0	1024	1024	formal_test
512	TES_polyA	central_33bp_linear_probe	AUPRC	0.69973327	1.0	5	4096.0	1024	1024	formal_test
512	TES_polyA	composition_linear_probe	AUPRC	0.61406836	1.0	5	4096.0	1024	1024	formal_test
512	TES_polyA	majority_baseline	AUPRC	0.30734086	1.0	1	4096.0	1024	1024	formal_test
512	promoter_TSS	1mer_linear_probe	AUPRC	0.55550637	1.0	5	4096.0	1024	1024	formal_test
512	promoter_TSS	3mer_linear_probe	AUPRC	0.66857600	1.0	5	4096.0	1024	1024	formal_test
512	promoter_TSS	6mer_linear_probe	AUPRC	0.67168364	1.0	5	4096.0	1024	1024	formal_test
512	promoter_TSS	AgroNT_1B	AUPRC	0.82305350	1.0	5	4096.0	1024	1024	formal_test
512	promoter_TSS	Caduceus_PS_131k	AUPRC	0.75797224	1.0	5	4096.0	1024	1024	formal_test
512	promoter_TSS	CropGenomeFM_random_init	AUPRC	0.66774895	1.0	5	4096.0	1024	1024	formal_test
512	promoter_TSS	CropGenomeFM_step14000	AUPRC	0.85129545	1.0	5	4096.0	1024	1024	formal_test
