panel	task_id	split	species	genus	family	sample_count	assembly_accessions	canonical_assembly_splits	species_seen_in_downstream_train	genus_seen_in_downstream_train	family_seen_in_downstream_train	species_seen_in_stageB_train	genus_seen_in_stageB_train	family_seen_in_stageB_train	interpretation
CropGenome-Bench-v1	promoter_TSS	train	Brassica rapa	Brassica	Brassicaceae	870	GCA_965641695.1	train	yes	yes	yes	yes	yes	yes	downstream training taxon
CropGenome-Bench-v1	promoter_TSS	train	Prunus persica	Prunus	Rosaceae	436	GCF_000346465.2	train	yes	yes	yes	yes	yes	yes	downstream training taxon
CropGenome-Bench-v1	promoter_TSS	train	Setaria italica	Setaria	Poaceae	616	GCF_000263155.2	train	yes	yes	yes	yes	yes	yes	downstream training taxon
CropGenome-Bench-v1	promoter_TSS	train	Sorghum bicolor	Sorghum	Poaceae	772	GCA_015952705.1	train	yes	yes	yes	yes	yes	yes	downstream training taxon
CropGenome-Bench-v1	promoter_TSS	train	Vigna radiata	Vigna	Fabaceae	544	GCF_000741045.1	train	yes	yes	yes	yes	yes	yes	downstream training taxon
CropGenome-Bench-v1	promoter_TSS	train	Vitis vinifera	Vitis	Vitaceae	858	GCF_030704535.1	train	yes	yes	yes	yes	yes	yes	downstream training taxon
CropGenome-Bench-v1	promoter_TSS	val	Beta vulgaris	Beta	Amaranthaceae	365	GCF_026745355.1	train	no	no	no	yes	yes	yes	species, genus and family held out downstream
CropGenome-Bench-v1	promoter_TSS	val	Daucus carota	Daucus	Apiaceae	380	GCF_001625215.2	val	no	no	no	yes	yes	yes	species, genus and family held out downstream
CropGenome-Bench-v1	promoter_TSS	val	Manihot esculenta	Manihot	Euphorbiaceae	279	GCF_001659605.2	train	no	no	no	yes	yes	yes	species, genus and family held out downstream
CropGenome-Bench-v1	promoter_TSS	test	Cucumis sativus	Cucumis	Cucurbitaceae	149	GCF_000004075.3	test	no	no	no	no	yes	yes	species, genus and family held out downstream
CropGenome-Bench-v1	promoter_TSS	test	Oryza sativa	Oryza	Poaceae	389	GCA_004007595.1	test	no	no	yes	yes	yes	yes	species and genus held out downstream, but family occurs in downstream train
CropGenome-Bench-v1	promoter_TSS	test	Solanum tuberosum	Solanum	Solanaceae	486	GCA_020169535.1	test	no	no	no	yes	yes	yes	species, genus and family held out downstream
CropGenome-Bench-v1	TES_polyA	train	Brassica rapa	Brassica	Brassicaceae	775	GCA_965641695.1	train	yes	yes	yes	yes	yes	yes	downstream training taxon
CropGenome-Bench-v1	TES_polyA	train	Prunus persica	Prunus	Rosaceae	467	GCF_000346465.2	train	yes	yes	yes	yes	yes	yes	downstream training taxon
