panel	task_id	task_scope	train_species_count	validation_species_count	test_species_count	downstream_species_disjoint	downstream_genus_disjoint	downstream_family_disjoint	test_families_not_seen_in_downstream_train	stageB_test_assembly_accession_isolated	stageB_test_species_unseen	stageB_test_genera_unseen	stageB_test_families_unseen	safe_interpretation
CropGenome-Bench-v1	promoter_TSS	core	6	3	3	yes	yes	no	2/3	yes	1/3	0/3	0/3	species/genus-disjoint supervised core benchmark; not globally family-disjoint; test accessions isolated from Stage B
CropGenome-Bench-v1	TES_polyA	core	6	3	3	yes	yes	no	2/3	yes	1/3	0/3	0/3	species/genus-disjoint supervised core benchmark; not globally family-disjoint; test accessions isolated from Stage B
CropGenome-Bench-v1	splice_donor_acceptor	core	5	3	3	yes	yes	no	2/3	yes	1/3	0/3	0/3	species/genus-disjoint supervised core benchmark; not globally family-disjoint; test accessions isolated from Stage B
Plant-Genomic-Benchmark	enhancer_cassava_proseq	external	1	1	1	no	no	no	0/1	not_auditable_no_accession_mapping	0/1	0/1	0/1	official sample-level supervised split; not a species-held-out benchmark; accession overlap with Stage B cannot be audited from this dataset
Plant-Genomic-Benchmark	gene_expression_arabidopsis_thaliana	external	1	1	1	no	no	no	0/1	not_auditable_no_accession_mapping	1/1	1/1	0/1	official sample-level supervised split; not a species-held-out benchmark; accession overlap with Stage B cannot be audited from this dataset
Plant-Genomic-Benchmark	gene_expression_glycine_max	external	1	1	1	no	no	no	0/1	not_auditable_no_accession_mapping	0/1	0/1	0/1	official sample-level supervised split; not a species-held-out benchmark; accession overlap with Stage B cannot be audited from this dataset
Plant-Genomic-Benchmark	gene_expression_oryza_sativa	external	1	1	1	no	no	no	0/1	not_auditable_no_accession_mapping	0/1	0/1	0/1	official sample-level supervised split; not a species-held-out benchmark; accession overlap with Stage B cannot be audited from this dataset
Plant-Genomic-Benchmark	gene_expression_solanum_lycopersicum	external	1	1	1	no	no	no	0/1	not_auditable_no_accession_mapping	0/1	0/1	0/1	official sample-level supervised split; not a species-held-out benchmark; accession overlap with Stage B cannot be audited from this dataset
Plant-Genomic-Benchmark	gene_expression_zea_mays	external	1	1	1	no	no	no	0/1	not_auditable_no_accession_mapping	0/1	0/1	0/1	official sample-level supervised split; not a species-held-out benchmark; accession overlap with Stage B cannot be audited from this dataset
Plant-Genomic-Benchmark	lncrna_multispecies	external	6	6	6	no	no	no	0/4	not_auditable_no_accession_mapping	0/6	0/6	0/4	official sample-level supervised split; not a species-held-out benchmark; accession overlap with Stage B cannot be audited from this dataset
