context_bp	task_id	task_type	model_id	primary_metric	value	n_train	n_validation	n_test	selected_ridge_alpha	evidence_role
512	enhancer_cassava_proseq	binary	CropGenomeFM_step14000	AUPRC	0.78417730	16852	1229	812		formal_test
512	gene_expression_arabidopsis_thaliana	multi_regression	CropGenomeFM_step14000	macro Pearson	0.10662999	25728	3399	3402	100.0	formal_test
512	gene_expression_glycine_max	multi_regression	CropGenomeFM_step14000	macro Pearson	0.12859437	47105	4801	4803	100.0	formal_test
512	gene_expression_oryza_sativa	multi_regression	CropGenomeFM_step14000	macro Pearson	0.09082027	31224	3700	3702	100.0	formal_test
512	gene_expression_solanum_lycopersicum	multi_regression	CropGenomeFM_step14000	macro Pearson	0.23671687	27307	3826	3827	100.0	formal_test
512	gene_expression_zea_mays	multi_regression	CropGenomeFM_step14000	macro Pearson	0.16109232	34487	4482	4483	100.0	formal_test
512	lncrna_multispecies	binary	CropGenomeFM_step14000	AUPRC	0.69474368	45588	5112	6095		formal_test
6000	enhancer_cassava_proseq	binary	CropGenomeFM_step14000	AUPRC	0.83211285	16852	1229	812		formal_test
6000	gene_expression_arabidopsis_thaliana	multi_regression	CropGenomeFM_step14000	macro Pearson	0.55196412	25728	3399	3402	100.0	formal_test
6000	gene_expression_glycine_max	multi_regression	CropGenomeFM_step14000	macro Pearson	0.56734097	47105	4801	4803	100.0	formal_test
6000	gene_expression_oryza_sativa	multi_regression	CropGenomeFM_step14000	macro Pearson	0.50282862	31224	3700	3702	100.0	formal_test
6000	gene_expression_solanum_lycopersicum	multi_regression	CropGenomeFM_step14000	macro Pearson	0.58914446	27307	3826	3827	100.0	formal_test
6000	gene_expression_zea_mays	multi_regression	CropGenomeFM_step14000	macro Pearson	0.63502067	34487	4482	4483	10.0	formal_test
6000	lncrna_multispecies	binary	CropGenomeFM_step14000	AUPRC	0.70719641	45588	5112	6095		formal_test
512	enhancer_cassava_proseq	binary	CropGenomeFM_random_init	AUPRC	0.71833836	16852	1229	812		formal_test
512	gene_expression_arabidopsis_thaliana	multi_regression	CropGenomeFM_random_init	macro Pearson	0.04619656	25728	3399	3402	100.0	formal_test
512	gene_expression_glycine_max	multi_regression	CropGenomeFM_random_init	macro Pearson	0.10554477	47105	4801	4803	100.0	formal_test
512	gene_expression_oryza_sativa	multi_regression	CropGenomeFM_random_init	macro Pearson	0.04938484	31224	3700	3702	100.0	formal_test
512	gene_expression_solanum_lycopersicum	multi_regression	CropGenomeFM_random_init	macro Pearson	0.23116742	27307	3826	3827	100.0	formal_test
512	gene_expression_zea_mays	multi_regression	CropGenomeFM_random_init	macro Pearson	0.12859409	34487	4482	4483	10.0	formal_test
512	lncrna_multispecies	binary	CropGenomeFM_random_init	AUPRC	0.58832819	45588	5112	6095		formal_test
6000	enhancer_cassava_proseq	binary	CropGenomeFM_random_init	AUPRC	0.68539129	16852	1229	812		formal_test
6000	gene_expression_arabidopsis_thaliana	multi_regression	CropGenomeFM_random_init	macro Pearson	0.36544112	25728	3399	3402	0.1	formal_test
6000	gene_expression_glycine_max	multi_regression	CropGenomeFM_random_init	macro Pearson	0.42977069	47105	4801	4803	0.1	formal_test
6000	gene_expression_oryza_sativa	multi_regression	CropGenomeFM_random_init	macro Pearson	0.35947422	31224	3700	3702	0.1	formal_test
6000	gene_expression_solanum_lycopersicum	multi_regression	CropGenomeFM_random_init	macro Pearson	0.45596789	27307	3826	3827	10.0	formal_test
6000	gene_expression_zea_mays	multi_regression	CropGenomeFM_random_init	macro Pearson	0.41868176	34487	4482	4483	0.01	formal_test
6000	lncrna_multispecies	binary	CropGenomeFM_random_init	AUPRC	0.58942739	45588	5112	6095		formal_test
512	enhancer_cassava_proseq	binary	DNABERT2_117M	AUPRC	0.74041406	16852	1229	812		formal_test
512	gene_expression_arabidopsis_thaliana	multi_regression	DNABERT2_117M	macro Pearson	0.05359345	25728	3399	3402	100.0	formal_test
512	gene_expression_glycine_max	multi_regression	DNABERT2_117M	macro Pearson	0.09653408	47105	4801	4803	100.0	formal_test
512	gene_expression_oryza_sativa	multi_regression	DNABERT2_117M	macro Pearson	0.07387102	31224	3700	3702	100.0	formal_test
512	gene_expression_solanum_lycopersicum	multi_regression	DNABERT2_117M	macro Pearson	0.22314012	27307	3826	3827	100.0	formal_test
512	gene_expression_zea_mays	multi_regression	DNABERT2_117M	macro Pearson	0.13403888	34487	4482	4483	100.0	formal_test
512	lncrna_multispecies	binary	DNABERT2_117M	AUPRC	0.65700718	45588	5112	6095		formal_test
512	enhancer_cassava_proseq	binary	NTv2_100M_multi_species	AUPRC	0.74871039	16852	1229	812		formal_test
512	gene_expression_arabidopsis_thaliana	multi_regression	NTv2_100M_multi_species	macro Pearson	0.05849524	25728	3399	3402	100.0	formal_test
512	gene_expression_glycine_max	multi_regression	NTv2_100M_multi_species	macro Pearson	0.11330455	47105	4801	4803	100.0	formal_test
