resource_id	resource_type	url	frozen_revision_or_accession	current_use	status
NCBI_Assembly	pretraining raw genomes/annotations	https://www.ncbi.nlm.nih.gov/datasets/genome/	258 assembly accessions listed in local canonical manifest	FASTA/GFF source for pretraining and core benchmark	used
Plant_Genomic_Benchmark	external downstream dataset	https://huggingface.co/datasets/InstaDeepAI/plant-genomic-benchmark	78ec8156c2ffb3e5475277fdb7eb603294224e53	7 external tasks; 33 frozen artifacts	used
AgroNT_1B	plant baseline model	https://huggingface.co/InstaDeepAI/agro-nucleotide-transformer-1b	b0e1ea1f53a2bf5bb29f8eab7a7e553bf06c1ab1	formal baseline	used
PlantCAD2_Small	plant baseline model	https://huggingface.co/kuleshov-group/PlantCAD2-Small-l24-d0768	f756c255cb76e9f538c3acec04acf4214ed03fb3	formal baseline	used
PlantCaduceus_l32	plant baseline model	https://huggingface.co/kuleshov-group/PlantCaduceus_l32	e624c13c3d35415348b854c87a218893b23564f7	formal baseline	used
NTv2_100M_multi_species	general baseline model	https://huggingface.co/InstaDeepAI/nucleotide-transformer-v2-100m-multi-species	f34324c6fde36a4f635f0f1f06cac5d25acd6798	formal baseline	used
NTv2_500M_multi_species	required next-release general baseline	https://huggingface.co/InstaDeepAI/nucleotide-transformer-v2-500m-multi-species	06615c1660c892fc199840c18123f8385b3542a8 inspected; weights not locally frozen	next benchmark release	planned_not_evaluated
DNABERT2_117M	general baseline model	https://huggingface.co/zhihan1996/DNABERT-2-117M	7bce263b15377fc15361f52cfab88f8b586abda0	formal 512-bp baseline	used
HyenaDNA_medium_160k	long-context baseline model	https://huggingface.co/LongSafari/hyenadna-medium-160k-seqlen-hf	7ebf71773d22c0ede2cc55cb2be15ee8c289e1ce	formal baseline	used
Caduceus_PS_131k	RC-equivariant long-context baseline	https://huggingface.co/kuleshov-group/caduceus-ps_seqlen-131k_d_model-256_n_layer-16	d89eeb853136ea64da7feb3d0c8e909771b17ae6	formal baseline	used
Evo2_1B_base	evolution-scale general baseline	https://huggingface.co/arcinstitute/evo2_1b_base	2279e1df422c991037470302360edd40d0d2ea1e	formal baseline under frozen local runtime	used
