shard	tokens	windows_total	train_windows	val_windows	test_windows	context_4096	context_8192	context_16384	mean_bp_per_window	train_fraction	relative_train_sampling_weight	input_sha256	windows_sha256
shard_000001	999997440	140897	132254	6144	2499	49680	85204	6013	7097.365026	0.938657317	1.044492854	9860dc29b7dca632c78d4deb417484898bebf40d021314c93a4ad74d162c43b4	36649325cdcde8f2bc889148899f7a380e85eea88fa551a7108c7893b6e1ea8c
shard_000002	999993344	140465	134442	4403	1620	48991	85374	6100	7119.163806	0.957120991	1.024343703	9218bb0f39176b35b92cb89e1db16b6e558381075fecd0036b22082390410720	34587b305152f2b798681755a466f4b7c1b3e649c7de084936cdf60900d5e243
shard_000003	999997440	140645	138352	2293	0	49054	85639	5952	7110.081695	0.983696541	0.996670029	bbde86c59c1bd55f234cecebcb0794a2fcfcfae04f3799f5f54ff1755303da71	28b7ea856bc1f43c9371e49557721717dbee45a0ce81b2568e5eb000ccb80740
shard_000004	999997440	140342	140311	31	0	48932	85216	6194	7125.432444	0.999779111	0.980637472	52114e54ef4fc95945f5b4f1021d170658d7084db4d78c75d8beb238b6d0a7ce	930537ecde9ac12e7864480e64fdf0854c705e8287c82a204a662c1281c08789
shard_000005	999997440	140483	136191	2394	1898	49126	85207	6150	7118.280788	0.969448261	1.011318396	7c78bb5fbfc572277e236912a8d41c1402ca810d9dbe6c85dd76305c309997e2	a7ac3983e4b7a4df23836e85cda05d1c8b64989616f5c1fe43b114c4df3af8fc
shard_000006	999993344	140375	134447	2406	3522	48873	85371	6131	7123.728185	0.957770258	1.023649306	2c282f9f941d7bd0c942db57fe5e9bcdfdca423b0a685bcb73759fb6661569c8	04f3cc1c7fc9d2da5541f1b2172c7ff5ceb0d5f5d2cfefa332a836298ceaccd0
shard_000007	999993344	140390	140390	0	0	48915	85338	6137	7122.967049	1.000000000	0.980420860	bcd4166abc79ac93737537860e7ba52156475fea0933645bf3a192537080b3e0	2565de22e959e905d4af43711bdded567e3501da9d33a04e1387311e49f6444f
shard_000008	999993344	140247	136490	3757	0	48457	85739	6051	7130.229837	0.973211548	1.007407754	f8201c2b977820c8848ffde1d67bcbc4657c049d4f739b948754c2b5d26d7822	c59efa3e35cf5368ae57d8ed2033a93c64e438dc6a68dd3e15deaf29cd79c1f8
shard_000009	999997440	140162	137476	0	2686	48448	85582	6132	7134.583125	0.980836461	0.999576279	47eb3df9a138fd506fbbb5b5edf08e64fdd8614bf31224b86fb92d27e2f0a313	106a3cbada0631396ead5ffe2f88f2f7ee202b470efcf01050053d793a79cb1a
shard_000010	999997440	140423	140423	0	0	48900	85426	6097	7121.322291	1.000000000	0.980420860	dedc8148e8063aab8e557a127ac13cedf893f6fb1cb089133540a0d6bc42762e	778e148e4a34b4929d4724518e37112a6645c11ed2a1c842dfdd067e345527a1
shard_000011	999997440	140301	138989	0	1312	48838	85275	6188	7127.514701	0.990648677	0.989675637	86672839deae351f6460073266253bbfd4c4e1e56880ef087f4a896693cda2e5	982cd0181ef0cb8edd214cddd68e87f06a468fd9ff61ee69cbcfca5b56cc49e4
shard_000012	999993344	140480	137265	3215	0	48921	85509	6050	7118.403645	0.977114180	1.003384129	70029489449ab8b9e76d37a2f53b36f5d7d4e291f9146169cd50ec219caa61db	de25ab6640a45435b1f263ed4632a83b6e3a111c870085ea22b0142e76813b25
shard_000013	999997440	140670	138738	0	1932	49126	85581	5963	7108.818085	0.986265728	0.994073739	08121dc1d72a54a1a22b7f25d85cf27b369a4ed9871669eb5e42a9005d2762e2	b2ef1f817e968eb7e43f5719ea2be37f2c45386857142c6a42c92cf3cf9cfd8e
shard_000014	999997440	140181	135907	4274	0	48426	85653	6102	7133.616111	0.969510847	1.011253111	297a67e219b4b47b939828d47a948caa3f82982fda4a2e1a9adcd04979e05d66	d2d457409c3be426808253ae5770713e7900ed053cb57037ee60a205f3069aff
shard_000015	999997440	140438	138570	0	1868	48908	85444	6086	7120.561671	0.986698757	0.993637474	3cb8b363e231549421d098a63785e15a036799ef72f94e8372b158746a2eefa5	916dfb60f0a6a9767c05c9734d0659c6db08bb3c31083d88f1d3fecf29718e28
shard_000016	999993344	140231	140231	0	0	48529	85599	6103	7131.043378	1.000000000	0.980420860	593ecc34775481c675551505b525064e8dfc40259fedeab49891926af273f2af	51cf06046a9bbd4a99ca2b42f23ea7c3f154ba0fd2e7425e3f0f8d1f0ca83534
shard_000017	999993344	140831	140831	0	0	49393	85503	5935	7100.662099	1.000000000	0.980420860	daaa5ae6bd6d9bf0e815689f02e2011d9e068065b7acbc75edd6ffe52cec01eb	e75316b9298f02224eb19a2c7ca746ee12316c01cfde16ef88506f82c15d50e7
shard_000018	999997440	140426	138413	2013	0	49220	84952	6254	7121.170154	0.985665048	0.994679544	44600ee85cda8aa98222821f9edbcd08d1cc9e4e107f0a77e95dc1851e65b78b	f3974a70fd22a79049faa66b173227e06608086ce3efeed43f21b9c33c28117f
shard_000019	999993344	140628	138454	2174	0	49029	85643	5956	7110.912080	0.984540774	0.995815395	5af96aac71a29ca39d6d1cbc86618a87bad0b8f5cef22281501938b47e8947bf	9ed28c72f0c22ba13de72535ec06fd00d28ae2501ac45e6c7d0c0bfcfb0b2241
shard_000020	999997440	140160	138231	0	1929	48372	85692	6096	7134.684932	0.986237158	0.994102537	ba69d540fca593782ba7b52dc14d8c228680f2fccb9fac6b8484bd00e2cb4914	d87089076ce9d7ec3bea1de76e80a8f49bdaabcbee4c028fb10b76a7f806d72e
shard_000021	999997440	141012	129562	231	11219	49660	85464	5888	7091.576887	0.918801237	1.067065238	56d1f10383482f5a99ddd2e6938fa2e7e2a552f1584559f053cc14139ef69096	9383873f2cb832b231e04d357cf9d3c26aea72e3793cf736cfd484f0f00b31b6
shard_000022	999993344	140549	140549	0	0	48909	85665	5975	7114.908993	1.000000000	0.980420860	75612107e51003b78e2b4728d0049630b9fc09d0acac2923d47e0a255baf072b	b211fca891a49c9620642d56306db4cdd1a7a5d7b3e5481a618d57f6a7edd5a6
